"﻿http://court.gov.ua/log_documents/24901288/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 11:29:17...";"Єдиний унікальний номер: 761/33146/17";"Номер провадження: 1-кс/761/21102/2017";"Номер провадження слідчих органів: 1/2017/11/000/0000144";;;;;
"http://court.gov.ua/log_documents/24901344/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 11:09:21...";"Єдиний унікальний номер: 761/33147/17";"Номер провадження: 2-во/761/155/17";"Спеціалізація: Позовне провадження";;;;;
"http://court.gov.ua/log_documents/24901482/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 11:30:30...";"Єдиний унікальний номер: 761/33148/17";"Номер провадження: 1-кс/761/21103/2017";"Номер провадження слідчих органів: 1/2017/10/010/0011033";;;;;
"http://court.gov.ua/log_documents/24901611/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 11:16:10...";"Єдиний унікальний номер: 761/26618/15-ц";"Номер провадження: 2-з/761/472/2017";"Поєднано зі справою № 761/26618/15-ц[2610-12816877] з типом поєднання Забезпечення позову, доказів";;;;;
"http://court.gov.ua/log_documents/24901841/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 11:19:56...";"Єдиний унікальний номер: 761/9520/17";"Номер провадження: 2/761/7208/2017";"Поєднано зі справою № 761/9520/17[2610-23626144] з типом поєднання Розгляд після скасування рішення за нововиявленими обставинами, заочного рішення";;;;;
"http://court.gov.ua/log_documents/24908413/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 15:01:45...";"Єдиний унікальний номер: 761/33176/17";"Номер провадження: 2/761/7209/2017";"Спеціалізація: Позовне провадження";;;;;
"http://court.gov.ua/log_documents/24908605/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 14:03:11...";"Єдиний унікальний номер: 761/33178/17";"Номер провадження: 1-кс/761/21131/2017";"Номер провадження слідчих органів: 1/2017/10/010/0011065";;;;;
"http://court.gov.ua/log_documents/24908633/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 13:48:27...";"Єдиний унікальний номер: 761/18332/15-ц";"Номер провадження: 6/761/593/2017";"Поєднано зі справою № 761/18332/15-ц[2610-11726348] з типом поєднання У порядку виконання";;;;;
"http://court.gov.ua/log_documents/24909010/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 14:11:21...";"Єдиний унікальний номер: 761/33181/17";"Номер провадження: 1-кс/761/21134/2017";"Номер провадження слідчих органів: 1/2017/10/010/0011066";;;;;
"http://court.gov.ua/log_documents/24909126/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 14:53:03...";"Єдиний унікальний номер: 761/33183/17";"Номер провадження: 2/761/7210/2017";"Спеціалізація: Позовне провадження";;;;;
"http://court.gov.ua/log_documents/24909317/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 14:52:59...";"Єдиний унікальний номер: 761/33185/17";"Номер провадження: 1-кс/761/21137/2017";"Номер провадження слідчих органів: 1/2017/10/010/0010831";;;;;
"http://court.gov.ua/log_documents/24909672/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 14:51:22...";"Єдиний унікальний номер: 761/33188/17";"Номер провадження: 2/761/7211/2017";"Спеціалізація: Позовне провадження";;;;;
"http://court.gov.ua/log_documents/24910446/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 14:57:22...";"Єдиний унікальний номер: 761/33192/17";"Номер провадження: 1-кс/761/21143/2017";"Номер провадження слідчих органів: 1/2017/10/010/0010726";;;;;
"http://court.gov.ua/log_documents/24910497/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 14:54:08...";"Єдиний унікальний номер: 761/33194/17";"Номер провадження: 1-кс/761/21145/2017";"Номер провадження слідчих органів: 1/2017/10/010/0010813";;;;;
"http://court.gov.ua/log_documents/24910627/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 14:28:37...";"Єдиний унікальний номер: 761/33195/17";"Номер провадження: 1-кс/761/21146/2017";"Номер провадження слідчих органів: 1/2017/10/010/0010885";;;;;
"http://court.gov.ua/log_documents/24910906/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 15:51:12...";"Єдиний унікальний номер: 761/33196/17";"Номер провадження: 1-кп/761/1650/2017";"Номер провадження слідчих органів: 1/2017/10/010/0008067";;;;;
"http://court.gov.ua/log_documents/24911427/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 14:44:26...";"Єдиний унікальний номер: 761/33197/17";"Номер провадження: 1-кс/761/21147/2017";"Спеціалізація: Клопотання, заяви, ст.206 КПКУ, в порядку чергування слідчих суддів  відповідно до РЗС від 31.01.2017";;;;;
"http://court.gov.ua/log_documents/24911523/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 15:45:35...";"Єдиний унікальний номер: 761/33198/17";"Номер провадження: 1-кс/761/21148/2017";"Номер провадження слідчих органів: 1/2017/10/010/0008261";;;;;
"http://court.gov.ua/log_documents/24911750/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 15:46:41...";"Єдиний унікальний номер: 761/33199/17";"Номер провадження: 1-кс/761/21149/2017";"Номер провадження слідчих органів: 1/2017/10/010/0001257";;;;;
"http://court.gov.ua/log_documents/24912117/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 15:52:55...";"Єдиний унікальний номер: 761/33200/17";"Номер провадження: 1-кп/761/1651/2017";"Номер провадження слідчих органів: 1/2017/10/010/0001700";;;;;
"http://court.gov.ua/log_documents/24913208/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 15:06:44...";"Єдиний унікальний номер: 761/33202/17";"Номер провадження: 2/761/7212/2017";"Поєднано зі справою № 761/30644/17[2610-24585880] з типом поєднання Виділено в окреме провадження";;;;;
"http://court.gov.ua/log_documents/24913398/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 15:47:50...";"Єдиний унікальний номер: 761/33201/17";"Номер провадження: 1-кс/761/21150/2017";"Номер провадження слідчих органів: 1/2015/10/010/0008857";;;;;
"http://court.gov.ua/log_documents/24913986/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 15:10:42...";"Єдиний унікальний номер: 761/33203/17";"Номер провадження: 2/761/7213/2017";"Поєднано зі справою № 761/30644/17[2610-24585880] з типом поєднання Виділено в окреме провадження";;;;;
